period,year,month,oil_bbl,gas_mcf,water_bbl,active_wells,active_operators,computed_at
2015-01-01,2015,1,9804608.0,212432691.0,28152288.0,51863,388,2026-04-23T13:57:35.971147
2015-02-01,2015,2,9058371.0,192481383.0,25806693.0,51872,383,2026-04-23T13:57:35.971147
2015-03-01,2015,3,10214419.0,181251372.0,28636886.0,51959,380,2026-04-23T13:57:35.971147
2015-04-01,2015,4,10074637.0,176519240.0,27992730.0,51950,376,2026-04-23T13:57:35.971147
2015-05-01,2015,5,10468779.0,180255754.0,28297126.0,52020,375,2026-04-23T13:57:35.971147
2015-06-01,2015,6,10052838.0,174739735.0,26544108.0,52114,375,2026-04-23T13:57:35.971147
2015-07-01,2015,7,10589530.0,179227827.0,27992916.0,52163,371,2026-04-23T13:57:35.971147
2015-08-01,2015,8,10712261.0,182451665.0,27958526.0,52175,369,2026-04-23T13:57:35.971147
2015-09-01,2015,9,10161939.0,176460052.0,26101061.0,52054,371,2026-04-23T13:57:35.971147
2015-10-01,2015,10,10627491.0,184788309.0,27914027.0,52071,369,2026-04-23T13:57:35.971147
2015-11-01,2015,11,10171770.0,179910788.0,27181405.0,52085,365,2026-04-23T13:57:35.971147
2015-12-01,2015,12,10194633.0,182083501.0,27184884.0,52112,363,2026-04-23T13:57:35.971147
2016-01-01,2016,1,10239796.0,180982510.0,27052008.0,52077,356,2026-04-23T13:57:35.971147
2016-02-01,2016,2,9414122.0,168058268.0,25238606.0,52080,355,2026-04-23T13:57:35.971147
2016-03-01,2016,3,9841609.0,179385082.0,26064489.0,52019,354,2026-04-23T13:57:35.971147
2016-04-01,2016,4,9548337.0,174578461.0,32573829.0,51973,357,2026-04-23T13:57:35.971147
2016-05-01,2016,5,9619723.0,179204900.0,26486396.0,51961,354,2026-04-23T13:57:35.971147
2016-06-01,2016,6,9239672.0,171671950.0,25167520.0,51890,358,2026-04-23T13:57:35.971147
2016-07-01,2016,7,9911292.0,175942017.0,26032116.0,51907,352,2026-04-23T13:57:35.971147
2016-08-01,2016,8,9977349.0,179611748.0,25045731.0,51900,352,2026-04-23T13:57:35.971147
2016-09-01,2016,9,9591839.0,174153818.0,24251170.0,51866,348,2026-04-23T13:57:35.971147
2016-10-01,2016,10,9882948.0,183779283.0,25340370.0,51790,346,2026-04-23T13:57:35.971147
2016-11-01,2016,11,9381140.0,178272196.0,25416508.0,51805,344,2026-04-23T13:57:35.971147
2016-12-01,2016,12,9319013.0,184223827.0,25635620.0,51796,339,2026-04-23T13:57:35.971147
2017-01-01,2017,1,9098634.0,183763329.0,25697384.0,51978,343,2026-04-23T13:57:35.971147
2017-02-01,2017,2,8214866.0,166189148.0,23713384.0,51894,342,2026-04-23T13:57:35.971147
2017-03-01,2017,3,9507003.0,183431607.0,25652889.0,51966,339,2026-04-23T13:57:35.971147
2017-04-01,2017,4,9782744.0,177433534.0,24774299.0,51949,336,2026-04-23T13:57:35.971147
2017-05-01,2017,5,10310104.0,180250340.0,25954120.0,52035,336,2026-04-23T13:57:35.971147
2017-06-01,2017,6,9911422.0,173141385.0,21169375.0,52165,333,2026-04-23T13:57:35.971147
2017-07-01,2017,7,10732251.0,179771010.0,25591887.0,52035,334,2026-04-23T13:57:35.971147
2017-08-01,2017,8,11607655.0,181731695.0,26057142.0,51855,332,2026-04-23T13:57:35.971147
2017-09-01,2017,9,11974318.0,179159016.0,26415159.0,51882,330,2026-04-23T13:57:35.971147
2017-10-01,2017,10,12664405.0,186144621.0,27914166.0,51879,326,2026-04-23T13:57:35.971147
2017-11-01,2017,11,12631418.0,182657744.0,27660606.0,51956,329,2026-04-23T13:57:35.971147
2017-12-01,2017,12,13509224.0,192318317.0,28950108.0,51942,325,2026-04-23T13:57:35.971147
2018-01-01,2018,1,13382495.0,191855999.0,28977046.0,52115,323,2026-04-23T13:57:35.971147
2018-02-01,2018,2,11852425.0,170539115.0,25399331.0,52069,321,2026-04-23T13:57:35.971147
2018-03-01,2018,3,13319638.0,188705916.0,28747040.0,52028,321,2026-04-23T13:57:35.971147
2018-04-01,2018,4,13363338.0,169775167.0,28420879.0,51945,322,2026-04-23T13:57:35.971147
2018-05-01,2018,5,13737380.0,190148483.0,28675429.0,51991,322,2026-04-23T13:57:35.971147
2018-06-01,2018,6,12692984.0,178696893.0,26547964.0,51954,315,2026-04-23T13:57:35.971147
2018-07-01,2018,7,13501427.0,188768100.0,28515616.0,51927,314,2026-04-23T13:57:35.971147
2018-08-01,2018,8,14819599.0,194501348.0,29602125.0,51859,314,2026-04-23T13:57:35.971147
2018-09-01,2018,9,14669986.0,190552057.0,27336141.0,51979,315,2026-04-23T13:57:35.971147
2018-10-01,2018,10,15667920.0,198295106.0,29380883.0,51793,315,2026-04-23T13:57:35.971147
2018-11-01,2018,11,15782938.0,196050382.0,27182191.0,51881,314,2026-04-23T13:57:35.971147
2018-12-01,2018,12,16352770.0,205248213.0,28863453.0,51837,311,2026-04-23T13:57:35.971147
2019-01-01,2019,1,15825809.0,206474664.0,28432429.0,51718,306,2026-04-23T13:57:35.971147
2019-02-01,2019,2,13940308.0,185390311.0,24917195.0,51675,302,2026-04-23T13:57:35.971147
2019-03-01,2019,3,14901333.0,204406881.0,27520470.0,51594,302,2026-04-23T13:57:35.971147
2019-04-01,2019,4,14901261.0,199322884.0,28029158.0,51614,302,2026-04-23T13:57:35.971147
2019-05-01,2019,5,15840203.0,205541548.0,28693947.0,51640,301,2026-04-23T13:57:35.971147
2019-06-01,2019,6,15897473.0,198362753.0,27180448.0,51566,303,2026-04-23T13:57:35.971147
2019-07-01,2019,7,16182839.0,203997238.0,27844836.0,51532,302,2026-04-23T13:57:35.971147
2019-08-01,2019,8,16571429.0,203862500.0,29395863.0,51388,300,2026-04-23T13:57:35.971147
2019-09-01,2019,9,15989207.0,197277416.0,27504351.0,51361,300,2026-04-23T13:57:35.971147
2019-10-01,2019,10,17613137.0,213131352.0,27709573.0,51300,299,2026-04-23T13:57:35.971147
2019-11-01,2019,11,17295667.0,209041337.0,28198748.0,51265,298,2026-04-23T13:57:35.971147
2019-12-01,2019,12,17274224.0,216574734.0,29493991.0,51160,294,2026-04-23T13:57:35.971147
2020-01-01,2020,1,16750726.0,214771818.0,28560505.0,50575,297,2026-04-23T13:57:35.971147
2020-02-01,2020,2,15285092.0,198974683.0,26930161.0,50527,294,2026-04-23T13:57:35.971147
2020-03-01,2020,3,16044863.0,208270111.0,28594971.0,50497,292,2026-04-23T13:57:35.971147
2020-04-01,2020,4,15369862.0,193609887.0,24032829.0,50140,291,2026-04-23T13:57:35.971147
2020-05-01,2020,5,14522623.0,187219505.0,22014097.0,50074,293,2026-04-23T13:57:35.971147
2020-06-01,2020,6,13798678.0,182141964.0,21600089.0,49967,293,2026-04-23T13:57:35.971147
2020-07-01,2020,7,14510341.0,188929769.0,23060547.0,49841,290,2026-04-23T13:57:35.971147
2020-08-01,2020,8,14452483.0,189959098.0,22721664.0,49655,291,2026-04-23T13:57:35.971147
2020-09-01,2020,9,13215140.0,184268597.0,21205061.0,49566,282,2026-04-23T13:57:35.971147
2020-10-01,2020,10,12958314.0,186676522.0,21764074.0,49555,282,2026-04-23T13:57:35.971147
2020-11-01,2020,11,12317642.0,180692202.0,21361782.0,49554,283,2026-04-23T13:57:35.971147
2020-12-01,2020,12,12288004.0,184797179.0,22146505.0,49528,281,2026-04-23T13:57:35.971147
2021-01-01,2021,1,12168178.0,183873029.0,22642886.0,49550,280,2026-04-23T13:57:35.971147
2021-02-01,2021,2,10871811.0,165114910.0,19633531.0,49509,277,2026-04-23T13:57:35.971147
2021-03-01,2021,3,11968454.0,181507512.0,24605309.0,49447,276,2026-04-23T13:57:35.971147
2021-04-01,2021,4,12632255.0,179911575.0,23416573.0,49387,275,2026-04-23T13:57:35.971147
2021-05-01,2021,5,13150419.0,187059581.0,24013503.0,49320,274,2026-04-23T13:57:35.971147
2021-06-01,2021,6,12252599.0,178459938.0,23230203.0,49235,274,2026-04-23T13:57:35.971147
2021-07-01,2021,7,12766918.0,185842602.0,23111609.0,49184,273,2026-04-23T13:57:35.971147
2021-08-01,2021,8,12961149.0,183894147.0,24709393.0,49187,270,2026-04-23T13:57:35.971147
2021-09-01,2021,9,13037750.0,178046715.0,22964420.0,49168,268,2026-04-23T13:57:35.971147
2021-10-01,2021,10,14314531.0,188020394.0,27233936.0,49029,268,2026-04-23T13:57:35.971147
2021-11-01,2021,11,13648619.0,180831679.0,23636374.0,48582,267,2026-04-23T13:57:35.971147
2021-12-01,2021,12,14096219.0,186057301.0,24073498.0,48589,265,2026-04-23T13:57:35.971147
2022-01-01,2022,1,13558867.0,182696997.0,23066473.0,48488,264,2026-04-23T13:57:35.971147
2022-02-01,2022,2,12480804.0,165459515.0,20737702.0,48466,261,2026-04-23T13:57:35.971147
2022-03-01,2022,3,14109492.0,185548332.0,24031035.0,48458,261,2026-04-23T13:57:35.971147
2022-04-01,2022,4,13610790.0,180445048.0,23229271.0,48429,260,2026-04-23T13:57:35.971147
2022-05-01,2022,5,13662982.0,181067294.0,24038801.0,48475,261,2026-04-23T13:57:35.971147
2022-06-01,2022,6,13011821.0,171709148.0,23652911.0,48467,261,2026-04-23T13:57:35.971147
2022-07-01,2022,7,13457743.0,177478428.0,24100855.0,48447,258,2026-04-23T13:57:35.971147
2022-08-01,2022,8,13550229.0,179191966.0,24712750.0,48367,250,2026-04-23T13:57:35.971147
2022-09-01,2022,9,13150279.0,176596110.0,24268990.0,47943,246,2026-04-23T13:57:35.971147
2022-10-01,2022,10,13697639.0,185056733.0,24752082.0,47540,247,2026-04-23T13:57:35.971147
2022-11-01,2022,11,13563224.0,179342643.0,24234367.0,47534,247,2026-04-23T13:57:35.971147
2022-12-01,2022,12,12953519.0,178910056.0,24507231.0,47271,239,2026-04-23T13:57:35.971147
2023-01-01,2023,1,13321228.0,181396152.0,23435040.0,47477,235,2026-04-23T13:57:35.971147
2023-02-01,2023,2,11789538.0,159774524.0,20650499.0,47431,232,2026-04-23T13:57:35.971147
2023-03-01,2023,3,13671542.0,177856876.0,24385195.0,47444,229,2026-04-23T13:57:35.971147
2023-04-01,2023,4,13642530.0,172652527.0,23707867.0,47457,227,2026-04-23T13:57:35.971147
2023-05-01,2023,5,14187045.0,179728096.0,24710561.0,47349,229,2026-04-23T13:57:35.971147
2023-06-01,2023,6,13947173.0,174162922.0,24279333.0,47332,228,2026-04-23T13:57:35.971147
2023-07-01,2023,7,14189796.0,178048668.0,25213595.0,47370,226,2026-04-23T13:57:35.971147
2023-08-01,2023,8,14464445.0,180664740.0,26228452.0,47316,225,2026-04-23T13:57:35.971147
2023-09-01,2023,9,13887416.0,175090400.0,24307709.0,47400,228,2026-04-23T13:57:35.971147
2023-10-01,2023,10,14708289.0,183035325.0,24393094.0,47345,223,2026-04-23T13:57:35.971147
2023-11-01,2023,11,14566572.0,179483612.0,24037533.0,47312,222,2026-04-23T13:57:35.971147
2023-12-01,2023,12,15218694.0,185610749.0,24759106.0,46990,222,2026-04-23T13:57:35.971147
2024-01-01,2024,1,13823549.0,181526657.0,23208507.0,46762,220,2026-04-23T13:57:35.971147
2024-02-01,2024,2,13584607.0,173938303.0,22352233.0,46778,213,2026-04-23T13:57:35.971147
2024-03-01,2024,3,14614137.0,185524866.0,25139411.0,46816,211,2026-04-23T13:57:35.971147
2024-04-01,2024,4,13520521.0,175079249.0,23328516.0,46785,211,2026-04-23T13:57:35.971147
2024-05-01,2024,5,14225497.0,180080162.0,23816262.0,46781,213,2026-04-23T13:57:35.971147
2024-06-01,2024,6,13368543.0,171571021.0,22293976.0,46786,213,2026-04-23T13:57:35.971147
2024-07-01,2024,7,13760251.0,179559034.0,22311151.0,46804,213,2026-04-23T13:57:35.971147
2024-08-01,2024,8,14022780.0,179729423.0,22762130.0,46444,207,2026-04-23T13:57:35.971147
2024-09-01,2024,9,14213142.0,173582806.0,23072990.0,46519,207,2026-04-23T13:57:35.971147
2024-10-01,2024,10,15473333.0,183737119.0,24613785.0,46826,205,2026-04-23T13:57:35.971147
2024-11-01,2024,11,15716316.0,180852302.0,23791908.0,46754,205,2026-04-23T13:57:35.971147
2024-12-01,2024,12,15876477.0,186564173.0,24962091.0,46717,203,2026-04-23T13:57:35.971147
